|tweet_id|tweet_text|compound|negative|neutral|positive
0|829483561|@SiliconHBO Season 4 Ep 1 coming tonight! So excited!! Whooo @HBO \n#SiliconValley #SiliconValleyHBO #HBO #TVShows @AmandaCCrew @nottjmiller |0.5528|0.0|0.797|0.203
1|2279758561|"""The @CalCourts motto: """"any litigant who reports abuse is 'crazy' &amp; 'delusional' -feels like the 1950s here in\u2026 https://t.co/ESGIOX0qEo"" "|-0.4019|0.177|0.717|0.105
2|786059588571455488|One sick twisted mofo. https://t.co/EEU5EQEOpl |-0.7717|0.691|0.309|0.0
3|3084863170|"""Isn't it weird "|0.1326|0.0|0.569|0.431
4|148683294|"""Ezt n\xe9ztem : Silicon Valley 1x04 """"Fiduciary Duties"""" https://t.co/nt1VhT2Lcs #SiliconValley #trakt"" "|0.0|0.0|1.0|0.0
5|148683294|"""Silicon Valley 1x04 """"Fiduciary Duties"""" \u2605\u2605\u2605\u2605\u2605\u2605\u2605\u2605\u2606\u2606 https://t.co/nt1VhT2Lcs #SiliconValley #trakt"" "|0.0|0.0|1.0|0.0
6|3164788032|Gilfoyle: Says here that she's looking for a man on the go. You don't go anywhere. #SiliconValley #SiliconHBO #SiliconValleyHBO |0.0|0.0|1.0|0.0
7|15597707|Play By Day: Start der 4. Staffel Silicon Valley bei HBO #SiliconValley https://t.co/JSyoWMg28z https://t.co/FgjFQzCjLG |0.34|0.0|0.844|0.156
8|148683294|"""Ezt n\xe9ztem : Silicon Valley 1x05 """"Signaling Risk"""" https://t.co/3OAYObnnUZ #SiliconValley #trakt"" "|0.0|0.0|1.0|0.0
9|127806182|#SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
10|851028728|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
11|813968075792011265|RT @EbrahIMred: #SiliconValley Season 4 premieres tonight.\n\nHello Gilfoyle. \U0001f602 https://t.co/A8wnGUSqjy |0.0|0.0|1.0|0.0
